date,average
2023-05-12,60012
2023-05-13,53634
2023-05-14,49471
2023-05-15,58209
2023-05-16,61313
2023-05-17,61854
2023-05-18,64529
2023-05-19,62198
2023-05-20,54238
2023-05-21,51030
2023-05-22,60282
2023-05-23,60047
2023-05-24,61461
2023-05-25,60887
2023-05-26,61377
2023-05-27,56488
2023-05-28,53952
2023-05-29,58595
2023-05-30,63416
2023-05-31,61506
2023-06-01,63898
2023-06-02,61909
2023-06-03,53639
2023-06-04,50515
2023-06-05,58214
2023-06-06,56126
2023-06-07,61744
2023-06-08,62660
2023-06-09,62458
2023-06-10,56796
2023-06-11,53817
2023-06-12,62390
2023-06-13,64371
2023-06-14,64505
2023-06-15,64433
2023-06-16,64315
2023-06-17,57525
2023-06-18,54415
2023-06-19,66314
2023-06-20,67548
2023-06-21,67583
2023-06-22,65804
2023-06-23,65738
2023-06-24,59512
2023-06-25,57609
2023-06-26,68958
2023-06-27,68997
2023-06-28,69625
2023-06-29,71634
2023-06-30,70278
2023-07-01,61965
2023-07-02,59080
2023-07-03,70887
2023-07-04,73131
2023-07-05,69825
2023-07-06,70835
2023-07-07,71404
2023-07-08,62592
2023-07-09,60239
2023-07-10,70351
2023-07-11,73109
2023-07-12,72554
2023-07-13,74295
2023-07-14,74018
2023-07-15,65959
2023-07-16,60495
2023-07-17,70294
2023-07-18,72798
2023-07-19,71197
2023-07-20,72614
2023-07-21,73427
2023-07-22,66253
2023-07-23,62935
2023-07-24,72018
2023-07-25,74226
2023-07-26,74777
2023-07-27,74976
2023-07-28,75372
2023-07-29,67148
2023-07-30,63725
2023-07-31,69143
2023-08-01,70883
2023-08-02,71401
2023-08-03,73075
2023-08-04,74537
2023-08-05,69453
2023-08-06,68476
2023-08-07,78437
2023-08-08,79900
2023-08-09,78297
2023-08-10,71709
2023-08-11,70866
2023-08-12,63473
2023-08-13,60661
2023-08-14,70368
2023-08-15,69023
2023-08-16,74158
2023-08-17,75763
2023-08-18,76521
2023-08-19,69144
2023-08-20,65029
2023-08-21,76562
2023-08-22,78414
2023-08-23,77405
2023-08-24,75597
2023-08-25,73004
2023-08-26,63930
2023-08-27,60485
2023-08-28,70309
2023-08-29,73628
2023-08-30,71848
2023-08-31,69132
2023-09-01,67785
2023-09-02,61523
2023-09-03,59493
2023-09-04,71702
2023-09-05,73743
2023-09-06,73049
2023-09-07,70207
2023-09-08,68666
2023-09-09,61276
2023-09-10,58060
2023-09-11,68987
2023-09-12,71894
2023-09-13,72194
2023-09-14,70643
2023-09-15,69768
2023-09-16,63409
2023-09-17,58810
2023-09-18,67944
2023-09-19,69963
2023-09-20,70590
2023-09-21,67090
2023-09-22,64210
2023-09-23,57625
2023-09-24,53095
2023-09-25,63616
2023-09-26,67174
2023-09-27,64231
2023-09-28,50710
2023-09-29,45892
2023-09-30,46382
2023-10-01,45381
2023-10-02,48060
2023-10-03,54097
2023-10-04,60002
2023-10-05,59647
2023-10-06,60544
2023-10-07,55978
2023-10-08,52655
2023-10-09,55610
2023-10-10,60553
2023-10-11,61841
2023-10-12,61819
2023-10-13,62502
2023-10-14,56021
2023-10-15,51962
2023-10-16,59049
2023-10-17,60556
2023-10-18,61121
2023-10-19,63709
2023-10-20,60092
2023-10-21,54567
2023-10-22,51164
2023-10-23,59377
2023-10-24,62038
2023-10-25,61597
2023-10-26,62427
2023-10-27,61352
2023-10-28,54516
